mp-ID,Formula,SynthNN_score
mp-7,S,0.013924385
mp-25,N2,0.12754764
mp-35,Mn,0.007098538
mp-43,U,0.001247106
mp-83,S,0.013924385
mp-118,P,0.33453113
mp-155,Gd,0.005250657
mp-172,Nd5Ge4,0.43779418
mp-183,CeCd,0.10804297
mp-186,Na4Si23,0.18010105
mp-202,TaTe4,0.06459353
mp-210,BaLi4,0.058406726
mp-216,Sc2O3,0.58446914
mp-218,Sm2O3,0.531815
mp-223,GeO2,0.25383756
mp-226,FeS2,0.03414346
mp-230,SbO2,0.12495347
mp-243,KC,0.010533291
mp-254,NdF3,0.95656735
mp-287,UF4,0.49104846
mp-294,UO3,0.89004177
mp-299,Mo9Se11,0.8272869
mp-306,B2O3,0.94642544
mp-308,U3O8,0.76473546
mp-310,NpCo2,0.0839771
mp-334,LaF3,0.8570755
mp-337,PuBe13,0.62073237
mp-355,Nd5Si4,0.29195562
mp-356,Nd2Co17,0.5337985
mp-368,P2O3,0.006055327
mp-383,Rb2Te,0.22656968
mp-387,CeSb,0.0652686
mp-392,U3Sb4,0.46052042
mp-394,CeZn5,0.7618144
mp-397,KCd13,0.23654404
mp-411,ErCo3,0.5792355
mp-413,UP2,0.028888192
mp-449,Fe5Si3,0.51325977
mp-457,CeBe13,0.6158558
mp-466,Nb2F5,0.27830106
mp-468,AlF3,0.78930277
mp-472,UAl2,0.27104494
mp-473,Na3P11,0.111933544
mp-491,La3Se4,0.099860154
mp-502,As4S5,0.044207256
mp-519,USb,0.15531759
mp-528,U2Zn17,0.21446434
mp-531,K4Si23,0.28841022
mp-566,CeP5,0.07967687
mp-569,NdCo5,0.80447114
mp-582,CeIr2,0.44816312
mp-588,GaF3,0.83772194
mp-597,TiNi,0.3235092
mp-604,Nb2O5,0.99170285
mp-606,U3As4,0.058709323
mp-607,CeRu2,0.117203824
mp-612,PS,0.00794435
mp-614,NaO2,0.04862199
mp-619,UB4,0.19867006
mp-639,US2,0.69692963
mp-641,As2S3,0.90013045
mp-644,K5Te3,0.023771629
mp-654,Ce2Fe17,0.8934905
mp-666,UTe2,0.55993664
mp-679,Er2O3,0.66722006
mp-681,EuZn2,0.29010493
mp-690,P4S5,0.005836388
mp-698,U3O8,0.76473546
mp-702,CeHg,0.014824697
mp-711,CeGa6,0.37616828
mp-723,Cr23C6,0.17421162
mp-726,SeO2,0.20131949
mp-733,GeO2,0.25383756
mp-743,RbN3,0.22871038
mp-748,Ti5O9,0.6212989
mp-761,CeCu5,0.475772
mp-764,CeCo5,0.84891284
mp-774,CaNi5,0.021374688
mp-775,Er5Si4,0.3643499
mp-787,U3P4,0.022309806
mp-807,NpTe,0.1937465
mp-809,ThCo5,0.81433237
mp-812,Ho2O3,0.8513317
mp-821,NbO2,0.65389526
mp-843,Th2Fe17,0.85700154
mp-844,Ca3N2,0.33672646
mp-853,ErNi5,0.83944225
mp-863,PuCo2,0.54703397
mp-878,Ho2S3,0.96589416
mp-879,La3Te4,0.055136804
mp-880,Pr2Fe17,0.71781296
mp-881,NpSn3,0.14759669
mp-909,As2Se3,0.8351617
mp-943,Co3S4,0.24000514
mp-951,CeRh2,0.36702964
mp-956,U3Si,0.1857946
mp-964,Cr3S4,0.40479258
mp-973,U2N3,0.32843268
mp-975,SF6,0.39410192
mp-976,V6Si5,0.36446822
