,MP_index,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
0,mp-7,-1,24875,S,0.8468198764613707,0.0
1,mp-25,63,282,N,0.21217807133755504,0.10416468734899118
2,mp-35,-1,24875,Mn,0.8468198764613707,0.0
3,mp-43,-1,24875,U,0.8468198764613707,0.0
4,mp-83,38,22,S,0.4684637580032451,0.972128756706714
5,mp-118,-1,24875,P,0.8468198764613707,0.0
6,mp-155,168,30,Gd,0.2601296164533244,1.0
7,mp-172,31,43,Nd,0.5380963227958782,0.9454555537772901
8,mp-183,107,493,Ce,0.43919125906243645,0.8817549151006628
9,mp-186,-1,24875,Si,0.8468198764613707,0.0
10,mp-202,-1,24875,Te,0.8468198764613707,0.0
11,mp-210,-1,24875,Ba,0.8468198764613707,0.0
12,mp-216,66,39,O,0.7407267552559651,0.5296505223091732
13,mp-218,66,39,O,0.7407267552559651,1.0
14,mp-223,-1,24875,O,0.8468198764613707,0.0
15,mp-226,-1,24875,Fe,0.8468198764613707,0.0
16,mp-230,-1,24875,O,0.8468198764613707,0.0
17,mp-243,63,282,C,0.21217807133755504,0.11274798564436514
18,mp-254,-1,24875,F,0.8468198764613707,0.0
19,mp-287,-1,24875,U,0.8468198764613707,0.0
20,mp-294,-1,24875,O,0.8468198764613707,0.0
21,mp-299,-1,24875,Mo,0.8468198764613707,0.0
22,mp-306,-1,24875,O,0.8468198764613707,0.0
23,mp-308,-1,24875,U,0.8468198764613707,0.0
24,mp-310,73,15,Np,0.9999999999819483,5.6902461438013085e-09
25,mp-334,-1,24875,F,0.8468198764613707,0.0
26,mp-337,107,493,Pu,0.43919125906243645,0.804641556540653
27,mp-355,-1,24875,Nd,0.8468198764613707,0.0
28,mp-356,11,51,Co,0.6162322023108271,0.9496145725536765
29,mp-368,-1,24875,P,0.8468198764613707,0.0
30,mp-383,-1,24875,Te,0.8468198764613707,0.0
31,mp-387,169,214,Ce,0.3084325766224466,0.8546127360773018
32,mp-392,110,45,U,0.6565088259563391,0.8894473815794511
33,mp-394,144,131,Ce,0.6426876732140571,1.0
34,mp-397,-1,24875,Cd,0.8468198764613707,0.0
35,mp-411,36,28,Co,0.9159316554357084,1.0
36,mp-413,92,37,U,0.6647266102525446,0.8908065864033449
37,mp-449,56,59,Fe,0.6665848550343422,0.8589015594862073
38,mp-457,107,493,Ce,0.43919125906243645,0.6077411505443098
39,mp-466,-1,24875,Nb,0.8468198764613707,0.0
40,mp-468,-1,24875,F,0.8468198764613707,0.0
41,mp-472,74,52,U,0.23782483151432468,1.0
42,mp-473,-1,24875,P,0.8468198764613707,0.0
43,mp-491,110,45,La,0.6565088259563391,1.0
44,mp-502,-1,24875,S,0.8468198764613707,0.0
45,mp-519,172,39,U,0.7992757673678723,0.9228171115560794
46,mp-528,-1,24875,U,0.8468198764613707,0.0
47,mp-531,-1,24875,Si,0.8468198764613707,0.0
