mat_id,drop_values
mp-7,"[0.9469654656542987, 0.8806965866115888, 0.551580178912702]"
mp-25,"[0.9970601147771518, 0.9970515024649784, 0.9971405779130557, 0.06765725103577246]"
mp-35,"[0.9830724291055769, 0.9689360845785469, 0.9758795222556559, 0.9829070305500368]"
mp-43,"[0.12329779300134622, 0.7879054300717572, 0.5902939477816352, 0.6350007084360179, 0.5284477101679008, 0.1644049776117848, 0.8410249937075052, 0.7439438415000453]"
mp-83,[-1]
mp-118,"[-0.6204996891187823, 0.9794162754197869, -0.26522239372146017, 0.9720585276206116, -0.03661338317707112, 0.9779067069667386]"
mp-155,"[0.09510424170249437, 0.09574308354864484]"
mp-172,"[0.6079484140669297, 0.6372489341653104, 0.7304926954663997, 0.6182219262853449, 0.1654222603416868, 0.7041175825846435, 0.7238386348510573]"
mp-183,"[0.9665944103397425, 0.9665801518946846, 0.9665631440851729]"
mp-186,[-1]
mp-202,[-1]
mp-210,"[0.9770143655889242, 0.9787737156388783, 0.9769183838963194, 0.9787955913386926, 0.9768992080159412]"
mp-216,"[0.9855979096036223, 0.9785286053509916, 0.9855046382759595, 0.9784873366216889]"
mp-218,"[0.9911086219957022, 0.9854387028094246, 0.9912564074645207, 0.9856907074472796]"
mp-223,"[0.30154057951348806, -0.09918514452326531, 0.29986843335051794, -0.01943001755451789]"
mp-226,"[0.9864772891815463, 0.985566190404115, 0.984737689800917]"
mp-230,"[0.7696621669258636, 0.8349168169162414, 0.06348998165048565, 0.460585815076659, 0.6395595180996344, 0.06421374942461269]"
mp-243,"[0.9891342972924059, 0.9893874195758229, 0.020310820838924708]"
mp-254,"[0.9936102242891441, 0.9931422954704513, 0.991591105732395, 0.9924480986372809, 0.993599131376371]"
mp-287,"[0.8481863074482769, 0.8509333426558744, 0.8369067690112373, 0.8324070705419908, 0.8430967114515003]"
mp-294,"[0.9802267865749404, 0.9786007960103126, 0.9892681814304007, 0.9787757220850359, 0.9802646033875535]"
mp-299,"[0.9739985609091509, 0.9428787781178543, 0.9425403563611553, 0.973847131906583, 0.9430198413642682, 0.9423989571005705]"
mp-306,"[0.981101671387092, 0.9818100165237978, 0.810682170172482, 0.9826967604040061, 0.8015353963853684]"
mp-308,"[0.9130050287082624, 0.9199523649236862, 0.6430535905249376]"
mp-310,"[0.01454012126302526, -0.015261768367822925, 0.11660161669615704, 0.2815904730709395]"
mp-334,"[0.9936708248542822, 0.9935243040616157, 0.9922846483097824, 0.9935279997419717, 0.9944699944615615]"
mp-337,[-1]
mp-355,[-1]
mp-356,"[0.9772084944914677, 0.9588058082738835, 0.9587094982847986, 0.9584901457525612, 0.9681460980146335, 0.9559519677814299]"
mp-368,"[-0.18303684079120366, 0.9596144376089631, 0.9665357976265467, -0.002316757594698727, 0.9056996468159489, 0.05587237973331698, 0.959448763383958, 0.00043345225316411545]"
mp-383,"[0.924387684807481, 0.5589214122807212, 0.4510454901788191, 0.4944194960674105]"
mp-387,"[0.970400905475894, 0.9703515000566209, 0.9705222084190864]"
mp-392,"[0.9660286974148149, 0.9659928658342791]"
mp-394,"[0.9477880638501106, 0.9492607022146871]"
mp-397,"[0.9780770362416912, 0.9827808467099808, 0.9827160701006453, 0.977965560528662, 0.9836885604649819, 0.9778845798694148, 0.982594750154744, 0.9825400466509865, 0.977579516167657, 0.983465782912453]"
mp-411,"[0.9605155816272418, 0.9591238276625031, 0.9646529501891332, 0.9649512712771323, 0.959877532083738, 0.962743609881289, 0.9640897163710123, 0.9646321542280795, 0.9584677617279782, 0.9576549604947479, 0.9632929988331642, 0.9638219632188683]"
mp-413,"[0.9495322737871397, 0.9160518156527278]"
mp-449,"[0.9888240134885692, 0.987726687629568, 0.9877969034822317]"
mp-457,[-1]
mp-466,"[0.9273014809654077, 0.99198405944344]"
mp-468,[-1]
mp-472,"[0.20728832908310996, -0.006935620894817237, 1.0091736883736893, 1.0012894320464347]"
mp-473,[-1]
mp-491,"[0.9676247135001411, 0.9676366891467177]"
mp-502,"[0.8949619022122094, 0.9654799398817294, 0.3917892676340682, 0.8983388965510054]"
mp-519,"[0.96877584529284, 0.9687014068940308, 0.9686635747003794]"
mp-528,"[0.9595205949879166, 0.9716222054836924, 0.9596101659495968, 0.9716160356937318, 0.9596731431107921, 0.971610353546604]"
mp-531,[-1]
mp-566,"[0.8778690263128932, 0.9875165916140768, 0.9289927250311532, 1.1617756831702732]"
mp-569,"[0.9744997856912321, 0.9410298558501197, -0.02676656551441286]"
mp-582,"[1.9766118374158843, 0.3337774277391735, 0.5233393830812532, 0.49860010808125943]"
mp-588,"[0.9871664004392082, 0.9879073292135532, 0.988711813452586, 0.9886966228475585, 0.9503948626706917, 0.9473853912684402]"
mp-597,"[0.9804971892569657, 0.9802488509674577, 0.9785902691842877, 0.9788253530498024, 0.9804386441839247]"
mp-604,"[0.9858937652058316, 0.9858316322449616, 0.9834419410833233]"
mp-606,"[0.9596300034789076, 0.9595826583583277]"
