,score
mp-681,0.843151404
mp-690,0.926068321
mp-698,0.685628962
mp-7,0.966837089
mp-702,0.948791119
mp-711,0.770666149
mp-723,0.881237319
mp-726,0.37522238
mp-733,0.873678039
mp-743,0.916420534
mp-748,0.850837814
mp-761,0.948791119
mp-764,0.899884467
mp-774,0.620499483
mp-775,0.823287543
mp-787,0.871293691
mp-807,0.948791119
mp-809,0.68536591
mp-812,0.972869323
mp-821,0.909560781
mp-83,0.962037354
mp-843,0.949022413
mp-844,0.988849171
mp-853,0.899930468
mp-863,0.945536792
mp-878,0.910840498
mp-879,0.871293691
mp-880,0.844680521
mp-881,0.948791119
mp-909,0.959470763
mp-943,0.970263352
mp-951,0.948929578
mp-956,0.873470911
mp-964,0.948563324
mp-973,0.497350319
mp-975,0.880176233
mp-976,0.898747134
mp-978,0.767371971
mp-980,0.948791119
mp-986,0.948791119
mp-995,0.880807507
mp-2973,0.869619622
mp-2980,0.989834743
mp-2981,0.974478759
mp-2983,0.647644863
mp-299,0.870992186
mp-2995,1.087086001
mp-3006,0.754828273
mp-3010,1.117501383
mp-3017,0.506251231
mp-3031,0.99563259
mp-3032,0.977719108
mp-3033,0.955094697
mp-3035,0.948791119
mp-3037,0.978779779
mp-3042,0.9781036
mp-3045,0.889652452
mp-3048,0.373539785
mp-3050,0.983802093
mp-3051,0.980992569
mp-306,0.920512544
mp-3071,0.665947173
mp-3073,0.717784832
mp-3074,0.804721325
mp-3075,0.92624993
mp-3079,0.956540655
mp-308,0.959599231
mp-3080,0.949341049
mp-3082,0.964780538
mp-3084,0.9054454
mp-3094,0.926730814
mp-4693,0.926128471
mp-4697,0.974440804
mp-4710,0.971368824
mp-472,0.948928977
mp-473,0.993164979
mp-4731,0.948791119
mp-4733,0.795974818
mp-4735,0.99047874
mp-4736,0.93192218
mp-4747,0.989703333
mp-4752,0.968631702
mp-4757,0.967429981
mp-4758,0.949081086
mp-4759,0.889878384
mp-4767,0.948791119
mp-4768,0.948791119
mp-4769,0.993257836
mp-4770,0.940613592
mp-4779,0.932216515
mp-4782,0.961877252
mp-4785,0.948791119
mp-4793,0.948791119
mp-4794,0.861617964
mp-4796,0.622599567
mp-4800,0.989190536
mp-4802,0.622404891
mp-4807,0.814898616
mp-4816,0.995070258
mp-4817,0.948791119
mp-4818,0.99257492
mp-4825,0.973405793
mp-4829,0.951494964
mp-4841,0.916028748
mp-4843,0.98651735
mp-4851,0.974720149
mp-4855,0.904757131
mp-4867,0.986712967
mp-4870,0.906609455
mp-4871,0.822668096
mp-502,0.875306969
