mat_id,drop_values
mp-625873,[0.99911623 0.99900789 0.99670906]
mp-625888,[-1]
mp-625890,[0.99780464 0.99890886]
mp-625894,[-1]
mp-625909,[0.99868491 0.99589064 0.99699077]
mp-625915,[-1]
mp-625924,[0.99851907 0.99961714 0.9981219 ]
mp-625927,[0.99941742 0.99592544 0.99804342]
mp-625948,[0.99906344 0.99907449 0.99881022]
mp-625959,[0.95712821 0.99902843]
mp-625961,[0.99907844 0.99814562 0.98641473]
mp-625964,[0.99639289 0.99610985 0.99769013]
mp-625994,[0.99725389 0.99930709 0.99976576]
mp-626006,[0.99862591 0.99974074 0.9980504 ]
mp-626014,[0.99861992 0.99735232]
mp-626015,[-1]
mp-626037,[0.99971756 0.99957493]
mp-626046,[0.9988924  0.99802173 0.99734986]
mp-626062,[0.99517065 0.99749175 0.9975164 ]
mp-626074,[0.9974307  0.9921351  0.99077378]
mp-626083,[0.99966156 0.9996658 ]
mp-626085,[0.99771317 0.99751323 0.9992295 ]
mp-626094,[0.99795494 0.98938147 0.99291651]
mp-626103,[0.98907537 0.99445853 0.99830837]
mp-626104,[0.99584491 0.99726522 0.9952496 ]
mp-626112,[0.99849712 0.99817452 0.99787207]
mp-626136,[0.99753146 0.99948174 0.99603482]
mp-626161,[-1]
mp-626165,[0.99956446 0.99776431 0.99562772]
mp-626182,[0.98880484]
mp-626193,[0.99634364]
mp-626194,[0.99628614 0.99776853 0.99636263]
mp-626197,[0.99967938 0.99937241 0.99926007]
mp-626210,[0.99974647 0.99866502 0.9997535 ]
mp-626219,[0.99679286 0.99986776 0.99850002]
mp-626222,[0.99968597 0.99764464 0.99835092]
mp-626225,[0.99953838 0.99288776 0.99220857]
mp-626227,[0.99941733 0.98932181 0.99135334]
mp-626229,[0.99779318 0.99912512 0.99895337]
mp-626230,[0.99938948 0.9891991  0.9895135 ]
mp-626241,[0.99212314 0.99960991 0.99190359]
mp-626256,[0.99820951 0.99774653 0.99838778]
mp-626260,[0.99959218 0.99724912 0.99637718]
mp-626263,[0.99958211 0.98917723 0.99057113]
mp-626264,[0.99967586 0.99072837 0.99073625]
mp-626267,[0.99916016 0.99827348 0.99954221]
mp-626268,[0.98886717 0.99956172 0.98825167]
mp-626271,[0.99964988 0.99103005 0.99290991]
mp-626275,[0.99953742 0.99603615 0.99711837]
mp-626279,[0.99039085 0.9994805  0.98917645]
mp-626282,[0.99313174 0.99920385 0.99419202]
mp-626287,[0.99968285 0.99594717 0.99802397]
mp-626289,[0.99877267 0.99728497 0.99810045]
mp-626293,[0.99330688 0.99958309 0.99162243]
mp-626295,[0.99966942 0.99354131 0.99392529]
mp-626299,[0.99442649 0.99597185 0.99574812]
mp-626307,[0.99981178]
mp-626308,[0.99969556 0.99809295 0.99880713]
mp-626315,[0.99760874 0.9969088  0.99905437]
mp-626317,[0.99952596 0.99346559 0.99684977]
mp-626337,[0.9957865  0.9996078  0.99798209]
mp-626340,[0.99953716 0.99812866 0.9975714 ]
mp-626354,[0.99928014 0.99930628 0.99918585]
