Index,MP ID,Chemical Formula,Anonymous Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,"d_NN,max",d_NNN,"NN,max/NN","NNN/NN,max",NNN/NN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,ICSD Reference,FB Lattice Dimensionality,FB Lattice IDs,Systre Key,Systre Spacegroup,RCSR Name,Flat with decay,Flat with no decay,FB Lattice with chi=1.02 and no decay,FB Lattice with chi=1.05 and no decay,FB Lattice with chi=1.1 and no decay,FB Lattice with chi=1.2 and no decay,FB Lattice with chi=1.4 and no decay,FB Lattice with chi=1.02 and decay,FB Lattice with chi=1.05 and decay,FB Lattice with chi=1.1 and decay,FB Lattice with chi=1.2 and decay,FB Lattice with chi=1.4 and decay
12,mp-1219079,SmCo2Cu3,AB2C3,Cu,1,6,3,2.4734,2.4734,4.11776,1,1.66481765990135,1.66481765990135,3,['P6/mmm'],191,-0.0321120825000006,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20,mp-14336,Cs2Ni3Se4,A2B3C4,Ni,1,9,3,3.08917,3.12526,5.32961,1.01168274973537,1.70533331626809,1.72525629861743,3,['Fmmm'],69,-0.860374901693007,0.6889,33891,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
22,mp-1247063,DyMg2Ti3S8,AB2C3D8,Ti,1,14,3,3.68447,3.68739,6.38262,1.00079251561283,1.73093163457079,1.73230342491593,4,['R-3m'],166,-1.72949696178572,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
25,mp-2295,CaNi2,AB2,Ni,2,6,4,2.53695,2.53695,4.39413,1,1.73205226748655,1.73205226748655,2,['Fd-3m'],227,-0.189147308333334,0,619440,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26,mp-1247039,Mg2TiNi3S8,AB2C3D8,Ni,1,14,3,3.57355,3.57775,6.10476,1.00117530187069,1.70631262665083,1.70831805907291,4,['R-3m'],166,-0.974089522023809,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
32,mp-1207723,Y(GaCo)6,AB6C6,Co,2,13,6,2.50083,2.51899,3.91573,1.0072615891524,1.55448413848408,1.56577216364167,3,['Immm'],71,-0.331651193205128,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,mp-1217158,U2(PdAu)5,A2B5C5,Au,1,12,5,2.68997,2.74218,4.67279,1.01940913839188,1.70404203954518,1.73711602731629,3,['Cm'],8,-0.265659071666667,0,-1,[1],['LI-18'],['NN_COLLISION'],['None'],['None'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
49,mp-18847,V2CdO4,AB2C4,V,2,14,4,3.12893,3.13709,5.41894,1.00260792027946,1.72737792030194,1.73188278421058,3,['Fd-3m'],227,-2.24044642857143,0,28961,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
51,mp-754232,Li4Co3WO8,AB3C4D8,Co,1,16,3,3.02916,3.02916,5.19019,1,1.713408997874,1.713408997874,4,['R-3m'],166,-1.90258571864583,1.9312,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
78,mp-772177,Li2Fe3CuO8,AB2C3D8,Fe,1,14,3,2.97973,2.97973,5.12547,1,1.72011222493313,1.72011222493313,4,['R-3m'],166,-1.53386807190476,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
